iter	Passed	Remaining
0	57	57750
1	58	29213
2	59	19730
3	60	14976
4	60	12131
5	61	10239
6	62	8875
7	63	7844
8	63	7036
9	64	6406
10	65	5885
11	66	5473
12	67	5112
13	68	4806
14	68	4527
15	69	4282
16	70	4062
17	70	3870
18	71	3706
19	72	3559
20	73	3422
21	74	3296
22	74	3181
23	75	3073
24	76	2979
25	77	2895
26	77	2808
27	78	2734
28	79	2658
29	80	2591
30	80	2528
31	81	2471
32	82	2416
33	83	2367
34	84	2319
35	84	2273
36	85	2226
37	86	2182
38	86	2142
39	87	2105
40	88	2068
41	89	2033
42	89	1998
43	90	1968
44	91	1936
45	91	1906
46	92	1884
47	93	1858
48	94	1836
49	95	1810
50	95	1786
51	96	1761
52	97	1738
53	98	1717
54	98	1696
55	99	1676
56	100	1656
57	100	1636
58	101	1619
59	102	1601
60	102	1585
61	103	1570
62	104	1553
63	105	1539
64	105	1523
65	106	1507
66	107	1492
67	107	1477
68	108	1465
69	109	1455
70	110	1443
71	111	1432
72	111	1419
73	112	1407
74	113	1394
75	113	1383
76	114	1375
77	115	1364
78	116	1354
79	116	1342
80	117	1332
81	118	1321
82	118	1308
83	119	1298
84	120	1292
85	120	1282
86	121	1273
87	121	1264
88	122	1254
89	123	1246
90	123	1237
91	124	1231
92	125	1224
93	126	1216
94	126	1208
95	127	1200
96	128	1192
97	128	1184
98	129	1178
99	130	1174
100	131	1168
101	132	1163
102	132	1157
103	133	1151
104	134	1145
105	134	1137
106	135	1132
107	136	1127
108	137	1120
109	137	1114
110	138	1108
111	138	1101
112	139	1095
113	140	1089
114	140	1084
115	141	1080
116	142	1074
117	142	1068
118	143	1063
119	144	1057
120	144	1052
121	145	1046
122	146	1041
123	146	1037
124	147	1035
125	148	1030
126	149	1024
127	149	1020
128	150	1015
129	151	1010
130	151	1005
131	152	1003
132	153	999
133	153	994
134	154	990
135	155	985
136	155	981
137	156	977
138	157	972
139	157	970
140	158	966
141	159	961
142	159	957
143	160	953
144	161	949
145	162	948
146	163	946
147	163	943
148	164	940
149	165	937
150	166	933
151	166	929
152	167	926
153	167	922
154	168	919
155	169	916
156	170	913
157	170	910
158	171	906
159	172	903
160	172	899
161	173	895
162	174	893
163	174	890
164	175	887
165	176	884
166	176	881
167	177	880
168	178	878
169	179	876
170	180	873
171	181	871
172	181	869
173	182	866
174	183	863
175	183	861
176	184	858
177	186	859
178	186	856
179	187	853
180	188	852
181	189	850
182	189	847
183	190	846
184	191	844
185	192	842
186	193	840
187	193	837
188	194	834
189	195	832
190	195	829
191	196	827
192	197	825
193	198	823
194	198	820
195	199	817
196	199	815
197	200	812
198	201	809
199	202	808
200	202	806
201	203	804
202	204	801
203	204	799
204	205	797
205	206	794
206	207	793
207	207	791
208	208	789
209	209	787
210	210	785
211	210	784
212	211	782
213	212	780
214	213	779
215	214	777
216	214	775
217	215	772
218	216	770
219	216	768
220	217	767
221	218	766
222	219	764
223	220	762
224	220	761
225	221	759
226	222	757
227	223	755
228	223	753
229	224	752
230	225	750
231	226	749
232	227	747
233	228	746
234	228	744
235	229	743
236	230	741
237	230	739
238	231	737
239	232	735
240	232	733
241	233	731
242	234	729
243	235	728
244	235	726
245	236	724
246	237	722
247	237	720
248	238	718
249	238	716
250	239	715
251	240	713
252	241	711
253	241	709
254	242	707
255	242	705
256	243	703
257	244	701
258	244	700
259	245	698
260	246	697
261	247	695
262	247	694
263	248	692
264	249	691
265	249	689
266	250	688
267	251	687
268	252	685
269	253	684
270	253	682
271	254	680
272	255	679
273	255	678
274	256	677
275	257	675
276	258	674
277	259	672
278	259	671
279	260	669
280	261	668
281	262	667
282	262	666
283	263	664
284	264	663
285	265	662
286	266	661
287	267	660
288	268	659
289	268	658
290	269	657
291	270	655
292	271	654
293	272	653
294	272	652
295	273	651
296	274	649
297	275	648
298	275	646
299	276	645
300	277	643
301	278	643
302	279	642
303	279	640
304	280	639
305	281	638
306	282	636
307	282	635
308	283	634
309	284	633
310	285	632
311	286	630
312	286	629
313	287	627
314	288	626
315	288	625
316	290	625
317	291	624
318	291	622
319	292	621
320	293	620
321	294	619
322	295	618
323	295	617
324	296	616
325	297	614
326	298	613
327	298	612
328	299	610
329	300	609
330	300	608
331	301	606
332	302	605
333	302	603
334	303	602
335	303	600
336	304	599
337	305	597
338	306	596
339	306	595
340	307	594
341	308	592
342	308	591
343	309	589
344	309	588
345	310	587
346	311	586
347	312	584
348	312	583
349	313	581
350	313	580
351	314	578
352	315	577
353	315	576
354	316	574
355	317	573
356	317	572
357	318	571
358	319	570
359	320	568
360	320	567
361	321	566
362	322	565
363	323	564
364	323	563
365	324	562
366	325	560
367	325	559
368	326	558
369	327	557
370	327	555
371	328	554
372	329	553
373	329	552
374	330	551
375	331	550
376	332	548
377	332	547
378	333	546
379	334	545
380	334	544
381	335	542
382	336	541
383	336	540
384	337	539
385	338	538
386	338	536
387	339	535
388	340	534
389	340	533
390	341	531
391	342	530
392	342	529
393	343	528
394	344	527
395	345	526
396	345	525
397	346	524
398	347	522
399	347	521
400	348	520
401	350	520
402	350	519
403	351	518
404	352	517
405	353	516
406	353	515
407	354	514
408	355	513
409	356	512
410	356	511
411	357	510
412	358	508
413	358	507
414	359	506
415	359	505
416	360	504
417	361	503
418	362	502
419	362	500
420	363	499
421	363	498
422	364	497
423	365	496
424	365	495
425	366	494
426	367	492
427	367	491
428	368	490
429	369	489
430	369	488
431	370	487
432	371	486
433	371	484
434	372	483
435	373	482
436	373	481
437	374	480
438	375	479
439	375	478
440	376	477
441	377	476
442	377	475
443	378	474
444	379	472
445	379	471
446	380	470
447	381	469
448	381	468
449	382	467
450	383	466
451	383	465
452	384	464
453	385	463
454	385	462
455	386	460
456	386	459
457	387	458
458	388	457
459	389	456
460	389	455
461	390	454
462	391	453
463	391	452
464	392	451
465	393	450
466	394	449
467	394	448
468	395	447
469	396	446
470	397	446
471	397	444
472	398	443
473	399	442
474	399	442
475	400	441
476	401	440
477	402	439
478	403	438
479	403	437
480	404	436
481	405	435
482	406	434
483	407	433
484	407	433
485	408	432
486	409	430
487	410	430
488	410	429
489	411	428
490	412	427
491	412	426
492	413	425
493	413	424
494	414	422
495	415	422
496	416	421
497	416	420
498	417	419
499	418	418
500	418	417
501	419	416
502	420	415
503	421	414
504	421	413
505	422	412
506	423	411
507	423	410
508	424	409
509	425	408
510	425	407
511	426	406
512	427	406
513	428	405
514	429	404
515	429	402
516	430	402
517	431	401
518	432	400
519	433	399
520	434	399
521	434	398
522	435	397
523	436	396
524	436	395
525	437	394
526	438	393
527	439	392
528	439	391
529	440	390
530	441	389
531	442	388
532	442	388
533	443	387
534	444	386
535	445	385
536	445	384
537	446	383
538	447	382
539	447	381
540	448	380
541	449	379
542	450	379
543	451	378
544	451	377
545	452	376
546	452	375
547	453	374
548	454	373
549	455	372
550	455	371
551	456	370
552	457	369
553	457	368
554	458	367
555	459	366
556	459	365
557	460	364
558	461	363
559	461	362
560	462	361
561	463	360
562	463	359
563	464	359
564	465	358
565	466	357
566	466	356
567	467	355
568	467	354
569	468	353
570	469	352
571	470	351
572	470	350
573	471	349
574	472	349
575	472	348
576	473	347
577	474	346
578	475	345
579	475	344
580	476	343
581	477	342
582	477	341
583	478	340
584	479	340
585	479	339
586	480	338
587	481	337
588	482	336
589	482	335
590	483	334
591	484	333
592	484	332
593	485	331
594	486	330
595	487	330
596	487	329
597	488	328
598	489	327
599	489	326
600	490	325
601	491	324
602	492	323
603	492	323
604	493	322
605	494	321
606	495	320
607	495	319
608	496	318
609	497	317
610	497	316
611	498	316
612	499	315
613	500	314
614	500	313
615	501	312
616	502	311
617	503	310
618	503	310
619	504	309
620	505	308
621	506	307
622	507	307
623	508	306
624	509	305
625	509	304
626	510	303
627	511	302
628	511	301
629	512	301
630	513	300
631	514	299
632	515	298
633	515	297
634	516	296
635	517	296
636	517	295
637	518	294
638	519	293
639	520	292
640	521	291
641	521	290
642	522	290
643	523	289
644	523	288
645	525	287
646	525	286
647	526	286
648	527	285
649	528	284
650	529	283
651	529	282
652	530	281
653	531	281
654	532	280
655	532	279
656	533	278
657	534	277
658	535	276
659	535	276
660	536	275
661	537	274
662	538	273
663	538	272
664	539	271
665	540	270
666	540	270
667	541	269
668	542	268
669	543	267
670	543	266
671	544	265
672	545	264
673	546	264
674	546	263
675	547	262
676	548	261
677	549	260
678	549	260
679	550	259
680	551	258
681	552	257
682	553	256
683	554	256
684	555	255
685	555	254
686	556	253
687	557	252
688	558	251
689	558	251
690	559	250
691	560	249
692	561	248
693	561	247
694	562	246
695	563	246
696	564	245
697	564	244
698	565	243
699	566	242
700	567	241
701	567	241
702	568	240
703	570	239
704	570	238
705	571	238
706	572	237
707	573	236
708	573	235
709	574	234
710	575	234
711	576	233
712	577	232
713	577	231
714	578	230
715	579	229
716	580	229
717	581	228
718	581	227
719	582	226
720	583	225
721	583	224
722	584	224
723	585	223
724	586	222
725	586	221
726	587	220
727	588	219
728	589	218
729	589	218
730	590	217
731	591	216
732	591	215
733	592	214
734	593	213
735	594	213
736	594	212
737	595	211
738	596	210
739	597	209
740	598	209
741	598	208
742	599	207
743	600	206
744	601	205
745	602	204
746	602	204
747	603	203
748	604	202
749	604	201
750	605	200
751	606	199
752	607	199
753	607	198
754	608	197
755	609	196
756	610	195
757	611	195
758	612	194
759	612	193
760	613	192
761	614	191
762	615	191
763	615	190
764	616	189
765	617	188
766	618	187
767	618	186
768	619	186
769	620	185
770	620	184
771	621	183
772	622	182
773	622	181
774	623	180
775	624	180
776	624	179
777	625	178
778	626	177
779	626	176
780	627	175
781	628	175
782	628	174
783	629	173
784	630	172
785	631	171
786	631	170
787	632	170
788	632	169
789	633	168
790	634	167
791	634	166
792	635	165
793	636	165
794	636	164
795	637	163
796	638	162
797	638	161
798	639	160
799	640	160
800	641	159
801	641	158
802	642	157
803	643	156
804	643	155
805	644	155
806	644	154
807	645	153
808	646	152
809	647	151
810	647	150
811	648	150
812	648	149
813	649	148
814	650	147
815	650	146
816	651	145
817	652	145
818	652	144
819	653	143
820	654	142
821	654	141
822	655	140
823	656	140
824	656	139
825	657	138
826	658	137
827	658	136
828	659	136
829	660	135
830	660	134
831	661	133
832	662	132
833	662	131
834	663	131
835	663	130
836	664	129
837	665	128
838	665	127
839	666	126
840	667	126
841	667	125
842	668	124
843	669	123
844	669	122
845	670	122
846	671	121
847	671	120
848	672	119
849	673	118
850	673	117
851	674	117
852	675	116
853	675	115
854	676	114
855	677	113
856	677	113
857	678	112
858	679	111
859	679	110
860	680	109
861	681	109
862	681	108
863	682	107
864	682	106
865	683	105
866	684	105
867	685	104
868	685	103
869	686	102
870	687	101
871	687	100
872	688	100
873	689	99
874	689	98
875	690	97
876	691	96
877	692	96
878	692	95
879	693	94
880	694	93
881	695	93
882	696	92
883	696	91
884	697	90
885	698	89
886	699	89
887	699	88
888	700	87
889	701	86
890	702	85
891	703	85
892	703	84
893	704	83
894	705	82
895	706	81
896	706	81
897	707	80
898	708	79
899	709	78
900	709	77
901	710	77
902	711	76
903	712	75
904	712	74
905	713	74
906	714	73
907	714	72
908	715	71
909	715	70
910	716	70
911	717	69
912	718	68
913	718	67
914	719	66
915	720	66
916	720	65
917	721	64
918	722	63
919	722	62
920	723	62
921	724	61
922	724	60
923	725	59
924	725	58
925	726	58
926	727	57
927	728	56
928	729	55
929	729	54
930	730	54
931	730	53
932	731	52
933	732	51
934	732	50
935	733	50
936	734	49
937	734	48
938	735	47
939	736	46
940	736	46
941	737	45
942	738	44
943	739	43
944	739	43
945	740	42
946	741	41
947	741	40
948	742	39
949	742	39
950	743	38
951	744	37
952	745	36
953	745	35
954	746	35
955	747	34
956	747	33
957	748	32
958	748	32
959	750	31
960	750	30
961	751	29
962	752	28
963	753	28
964	753	27
965	754	26
966	755	25
967	756	24
968	756	24
969	757	23
970	757	22
971	758	21
972	759	21
973	759	20
974	761	19
975	761	18
976	762	17
977	763	17
978	763	16
979	764	15
980	764	14
981	765	14
982	766	13
983	767	12
984	768	11
985	768	10
986	769	10
987	770	9
988	771	8
989	772	7
990	772	7
991	773	6
992	774	5
993	774	4
994	775	3
995	776	3
996	777	2
997	777	1
998	778	0
999	779	0
